id,display_name,english_name,korean_name,alias
1,GOT7,GOT7,갓세븐,
2,강다니엘,KANG DANIEL,강다니엘,
3,권은비,KWON EUNBI,권은비,
4,김우석,Kim Woo Seok,김우석,
5,김재환,KIM JAEHWAN,김재환,
6,NEXZ,NEXZ,넥스지,
7,뉴이스트,NU'EST,뉴이스트,NUEST
8,NewJeans,NewJeans,뉴진스,
9,더보이즈,THE BOYZ,더보이즈,덥즈
10,DAY6,DAY6,데이식스,
11,드림캐쳐,Dreamcatcher,드림캐쳐,드캐
12,RIIZE,RIIZE,라이즈,
13,Red Velvet,Red Velvet,레드벨벳,레벨
14,LUN8,LUN8,루네이트,
15,LE SSERAFIM,LE SSERAFIM,르세라핌,
16,마마무,Mamamoo,마마무,
17,몬스타엑스,MONSTA X,몬스타엑스,몬엑
18,방탄소년단,BTS,방탄소년단,방탄
19,VERIVERY,VERIVERY,베리베리,
20,BABYMONSTER,BABYMONSTER,베이비몬스터,베몬
21,BOYNEXTDOOR,BOYNEXTDOOR,보이넥스트도어,보넥도
22,BLACKPINK,BLACKPINK,블랙핑크,블핑
23,VIVIZ,VIVIZ,비비지,
24,B1A4,B1A4,비원에이포,비포
25,비투비,BTOB,비투비,
26,Billlie,Billlie,빌리,
27,SHINee,SHINee,샤이니,
28,세븐틴,SEVENTEEN,세븐틴,
29,SAY MY NAME,SAY MY NAME,세이마이네임,세마넴
30,소녀시대,GIRLS' GENERATION,소녀시대,소시
31,SUPER JUNIOR,SUPER JUNIOR,슈퍼주니어,슈주
32,STAYC,STAYC,스테이씨,
33,Stray Kids,Stray Kids,스트레이키즈,스키즈
34,xikers,xikers,싸이커스,
35,CIX,CIX,씨아이엑스,씨아엑
36,ASTRO,ASTRO,아스트로,
37,i-dle,i-dle,아이들,
38,IVE,IVE,아이브,
39,아이유,IU,아이유,
40,iKON,iKON,아이콘,
41,아일릿,ILLIT,아일릿,
42,&TEAM,&TEAM,앤팀,
43,앰퍼샌드원,AMPERS&ONE,앰퍼샌드원,
44,SF9,SF9,에스에프나인,
45,aespa,aespa,에스파,
46,AB6IX,AB6IX,에이비식스,
47,ATBO,ATBO,에이티비오,
48,ATEEZ,ATEEZ,에이티즈,
49,82MAJOR,82MAJOR,에이티투메이저,에투메
50,Apink,Apink,에이핑크,에핑
51,8TURN,8TURN,에잇턴,
52,EXO,EXO,엑소,
53,Xdinary Heroses,Xdinary Heroses,엑스디너리히어로즈,
54,NMIXX,NMIXX,엔믹스,
55,NCT,NCT,엔시티,
56,NCT 127,NCT 127,엔시티 127,127
57,NCT DREAM,NCT DREAM,엔시티 드림,엔드림
58,NCT WISH,NCT WISH,엔시티 위시,엔위시
59,엔플라잉,N.Flying,엔플라잉,NFlying
60,엔하이픈,ENHYPEN,엔하이픈,
61,여자친구,GFRIEND,여자친구,여친
62,오마이걸,OH MY GIRL,오마이걸,옴걸
63,OnlyOneOf,OnlyOneOf,온리원오브,
64,온앤오프,ONF,온앤오프,온옾
65,WOOAH,WOOAH,우아,
66,우주소녀,WJSN,우주소녀,우소
67,WOODZ,WOODZ,우즈,
68,원어스,ONEUS,원어스,
69,ONE PACT,ONE PACT,원팩트,
70,WINNER,WINNER,위너,
71,위아이,WEi,위아이,
72,YOUNITE,YOUNITE,유나이트,
73,UNIS,UNIS,유니스,
74,EVNNE,EVNNE,이븐,
75,izna,izna,이즈나,
76,이채연,Lee Chae Yeon,이채연,
77,EPEX,EPEX,이펙스,
78,인피니트,INFINITE,인피니트,
79,ITZY,ITZY,있지,
80,ZEROBASEONE,ZEROBASEONE,제로베이스원,제베원
81,조유리,JO YURI,조유리,
82,G-DRAGON,G-DRAGON,지드래곤,지디
83,YENA,YENA,최예나,
84,Kep1er,Kep1er,케플러,
85,CRAVITY,CRAVITY,크래비티,
86,CLASS:y,CLASS:y,클라씨,
87,KISS OF LIFE,KISS OF LIFE,키스오브라이프,키오라
88,KiiiKiii,KiiiKiii,키키,
89,KickFlip,KickFlip,킥플립,
90,TEMPEST,TEMPEST,템페스트,
91,투모로우바이투게더,TXT,투모로우바이투게더,투바투
92,TWS,TWS,투어스,
93,TREASURE,TREASURE,트레저,
94,TWICE,TWICE,트와이스,트와
95,FANTASY BOYS,FANTASY BOYS,판타지보이즈,
96,펜타곤,PENTAGON,펜타곤,
97,프로미스나인,fromis_9,프로미스나인,프미나
98,PLAVE,PLAVE,플레이브,
99,P1Harmony,P1Harmony,피원하모니,
100,하성운,HA SUNG WOON,하성운,
101,하이라이트,HIGHLIGHT,하이라이트,
102,H1-KEY,H1-KEY,하이키,
103,Hearts2Hearts,Hearts2Hearts,하츠투하츠,하투하